sep=,
username,post,date,url,like,comment,is_repost
kantahkotajakartabarat,Halo+%23sobATRBPN%2C+Sudah+tahu+belum+kalau+sobat+bisa+mengakses+sertipikat+elektronik+dan+cek+informasi+pertanahan+melalui+aplikasi+Sentuh+Tanahku.%0A%0ASentuh+Tanahku+adalah+aplikasi+yang+dibuat+untuk+menjawab+berbagai+permasalahan+pertanahan+masyarakat.+Aplikasi+ini+tersedia+untuk+ponsel+pintar+dengan+sistem+operasi+Android+maupun+iOS+dan+telah+dilengkapi+dengan+berbagai+fitur.%0A%0AYuk+simak+Informasi+Kantah+Jakbar+berikut+ini..%0A%0ADukung+Kami+untuk+Meraih+Zona+Integritas+Wilayah+Birokrasi+Bersih+dan+Melayani+%28WBBM%29+Tahun+2024.%0A%0A%40kementerian.atrbpn%0A%40kanwilbpndkijakarta%0A%0A%23kantahjakbar%0A%23atrbpnkinilebihbaik%0A%23profesionaldanterpercaya%0A%23kementerianatrbpn%0A%23MelayaniProfesionalTerpercaya%0A%23ATRBPNMajudanModern%0A%23ATRBPNKiniLebihBaik,2024-05-07+01%3A50%3A03+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC6pkCJmyHbW%2F,86,10,false
kantahkotajakartabarat,Keluarga+Besar+Kantor+Pertanahan+Kota+Administrasi+Jakarta+Barat+SIAP%21+mewujudkan+Kantor+Pertanahan+Kota+Administrasi+Jakarta+Barat+meraih+predikat+Zona+Integritas+Wilayah+Birokrasi+Bersih+dan+Melayani+%28WBBM%29.%0A%0AMari+bersama+mencegah+korupsi%2C+memberantasan+mafia+tanah+dan+meningkatan+kualitas+pelayanan+publik+kepada+Masyarakat.%0A%0ADukung+kami+terus+sobat%21%0A%0A%40kementerian.atrbpn%0A%40kanwilbpndkijakarta%0A%40agusyudhoyono%0A%40rajaantoni%0A%0A%23ZonaIntegritas%0A%23ZI%0A%23wbbm%0A%23kantahjakbar%0A%23atrbpnkinilebihbaik%0A%23profesionaldanterpercaya%0A%23kementerianatrbpn%0A%23MelayaniProfesionalTerpercaya%0A%23ATRBPNMajudanModern%0A%23ATRBPNKiniLebihBaik,2024-03-04+08%3A15%3A37+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC4FdSGHSUVX%2F,182,1,false
kantahkotajakartabarat,Pembangunan+Zona+Integritas+bertujuan+untuk+menciptakan+sistem+pemerintahan+yang+lebih+responsif%2C+efektif%2C+dan+akuntabel+sehingga+dapat+meningkatkan+kualitas+pelayanan+publik%2C+membangun+kepercayaan+masyarakat+terhadap+pemerintah%2C+dan+mendorong+pembangunan+yang+berkelanjutan.%0A%0AKantor+Pertanahan+Kota+Administrasi+Jakarta+Barat+berupaya+menjaga+komitmen+dan+meningkatkan+pelayanan+terhadap+masyarakat+dalam+bidang+pelayanan+pertanahan.+Kantor+Pertanahan+Kota+Adminsitrasi+Jakarta+Barat+telah+berhasil+mendapatkan+predikat+Zona+Integritas+Wilayah+Bebas+dari+Korupsi+%28WBK%29+pada+tahun+2021%2C+dan+terus+menjaga+komitmen%2C+integritas+dan+sinergitas+untuk+tetap+melayani+masyarakat+sebagai+wujud+implementasi+Zona+Integritas+menuju+Wilayah+Birokrasi+Bersih+dan+Melayani+%28WBBM%29+Tahun+2023.%0A%0APeningkatan+inovasi-inovasi+yang+menyentuh+langsung+dengan+masyarakat+serta+penambahan+prasarana+dan+saran+yang+bertujuan+untuk+meningkatkan+kepercayaan+masyarakat+terhadap+pelayanan+pertanahan+sehingga+layanan+pertanahan+lebih+mudah+diakses+oleh+masyarakat.%0A%0AKantor+Pertanahan+Kota+Administrasi+Jakarta+Barat%2C+From+West+to+The+Best+%21%21%21%0A%0A%40kementerian.atrbpn%0A%40kanwilbpndkijakarta%0A%40hadi.tjahjanto%0A%40rajaantoni%0A%0A%23kantahjakbar%0A%23atrbpnkinilebihbaik%0A%23profesionaldanterpercaya%0A%23kementerianatrbpn%0A%23MelayaniProfesionalTerpercaya%0A%23ATRBPNMajudanModern%0A%23atrbpnkinilebihbaik%0A%23wbbm%0A%23zi,2023-08-20+15%3A34%3A20+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Freel%2FCwK9iIdM29Q%2F,226,9,false
kantahkotajakartabarat,Halo+%23SobATRBPN%2C+Senin%2C+2+September+2024%2C+Kantor+Pertanahan+Kota+Administrasi+Jakarta+Barat+telah+melaksanakan+Apel+Pagi+yang+diikuti+oleh+ASN%2C+PPNPN%2C+Petugas+Kebersihan+dan+Keamanan+serta+peserta+Magang.%0A%0AApel+pagi+dipimpin+oleh+Kepala+Subbagian+Tata+Usaha+Kantor+Pertanahan+Kota+Administrasi+Jakarta+Barat%2C+Adi+Supriyanto%2C+S.E.%2C+M.Si.%0A%0ADalam+Amanatnya+Pembina+Apel+menyampaikan+%22Sudah+memasuki+Bulan+September%2C+mari+kita+realisasikan+anggaran+untuk+memaksimalkan+layanan+pertanahan.+Jangan+lupa+untuk+berkoordinasi+dengan+pimpinan+dalam+menyelesaikan+tugas%2Fpekerjaan.+Untuk+petugas+loket+untuk+dapat+mensosialisasikan+aplikasi+LOKETKU%2C+untuk+memudahkan+masyarakat+untuk+mendaftarkan+layanan+pertanahan.%22%0A%0ALanjutnya%2C+Adi+menyampaikan+%22Untuk+selalu+bersyukur+atas+nikmat+yang+diberikan+kepada+kita%2C+karena+bekerja+adalah+salah+satu+nikmat+yang+perlu+disyukuri.%22%0A%0Akementerian.atrbpn%0A%40kanwilbpndkijakarta%0A%0A%23kantahjakbar%0A%23AHYMenteriATR%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-09-02+01%3A14%3A59+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_ZV0fhyhDJ%2F,28,0,false
kantahkotajakartabarat,Halo+%23SobATRBPN%2C+Kantor+Pertanahan+Kota+Administrasi+Jakarta+Barat+membuka+layanan+PELATARAN+%28Pelayanan+Pertanahan+Akhir+Pekan%29+yang+dibuka+mulai+pukul%3A+08.00-12.00+WIB.%0APelataran+ini+khusus+untuk+pemohon+langsung%2Fnon+kuasa+yah+sobb.+Yukk+urus+sertipikatmu+sendiri.%0ABerikut+kegiatan+Pelataran+pada+Minggu%2C+01+September+2024.%0Akementerian.atrbpn%0A%40kanwilbpndkijakarta%0A%40agusyudhoyono%0A%40rajaantoni%0A%23kantahjakbar%0A%23AHYMenteriATR%0A%23PelataranBPN%0A%23PelataranSabtuMinggu%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajuModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-09-01+04%3A17%3A53+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_XF9LKye-J%2F,36,0,false
kantahkotajakartabarat,Halo+%23SobATRBPN%2C+Kantor+Pertanahan+Kota+Administrasi+Jakarta+Barat+membuka+layanan+PELATARAN+%28Pelayanan+Pertanahan+Akhir+Pekan%29+yang+dibuka+mulai+pukul%3A+08.00-12.00+WIB.%0A%0APelataran+ini+khusus+untuk+pemohon+langsung%2Fnon+kuasa+yah+sobb.+Yukk+urus+sertipikatmu+sendiri.%0ABerikut+kegiatan+Pelataran+pada+Sabtu%2C+31+Agustus+2024.%0A%0Akementerian.atrbpn%0A%40kanwilbpndkijakarta%0A%40agusyudhoyono%0A%40rajaantoni%0A%0A%23kantahjakbar%0A%23AHYMenteriATR%0A%23PelataranBPN%0A%23PelataranSabtuMinggu%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajuModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-08-31+05%3A00%3A00+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_UmC0uyvSP%2F,41,0,false
kantahkotajakartabarat,Halo+%23sobATRBPN%2C+Dalam+rangka+Optimalisasi+Pelayanan+dan+Keterbukaan+Informasi+Publik+kepada+Masyarakat+serta+penggunaan+aplikasi+LOKETKU%2C+Kantah+Jakarta+Barat+mengadakan+evaluasi+Petugas+Loket+pada+Jumat%2C+%2830%2F08%2F2024%29.%0A%0ADalam+evaluasi+ini+berfokus+pada+keterbukaan+informasi+publik+merujuk+pada+prinsip+di+mana+informasi+yang+dimiliki+oleh+Kantah+Jakarta+Barat+harus+tersedia+untuk+umum%2C+sehingga+masyarakat+bisa+mengakses+informasi+tersebut+dengan+mudah.+hal+ini+penting+untuk+mendukung+transparansi%2C+akuntabilitas%2C+dan+partisipasi+publik+dalam+proses+pemerintahan.%0A%0A%22Mari+Teman-teman+sekalian+petugas+loket+harus+memberikan+layanan+terbaik+kepada+masyarakat.+Komunikasi+dan+saling+mengingatkan+satu+sama+lain+merupakan+kunci+utama+dari+keberhasilan+kerjasama+kalian+petugas+loket.+Kepada+Petugas+Loket+untuk+Mensosialisasikan+Penggunaan+Aplikasi+%22LOKETKU%22dan+Jangan+lupa+untuk+tertib+absensi+melalui+e-office+Dan+%2C+Ujar+Adi+Supriyanto.%0A%0AEvaluasi+ini+dipimpin+oleh+Kepala+Subbagian+Tata+Usaha%2C+Adi+SUpriyanto+dan+diikuti+oleh+seluruh+petugas+loket+dan+petugas+keamanan+yang+bertugas+di+loket+layanan.%0A%0Akementerian.atrbpn%0A%40kanwilbpndkijakarta%0A%0A%23kantahjakbar%0A%23AHYMenteriATR%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajuModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-08-31+03%3A27%3A31+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_UROVEyo2m%2F,64,0,false
kantahkotajakartabarat,Halo+%23sobATRBPN%2C+Kantor+Pertanahan+Kota+Administrasi+Jakarta+Barat+membuka+layanan+PELATARAN+%28Pelayanan+Pertanahan+Akhir+Pekan%29+Sabtu+dan+Minggu+yang+dibuka+mulai+pukul%3A+08.00-12.00+WIB.%0A%0APelataran+ini+khusus+untuk+pemohon+langsung%2Fnon+kuasa+yah+sobb.+Yukk+urus+sertipikatmu+sendiri.%0A%0A%40kementerian.atrbpn%0A%40kanwilbpndkijakarta%0A%40agusyudhoyono%0A%40rajaantoni%0A%0A%23kantahjakbar%0A%23AHYMenteriATR%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-08-31+01%3A42%3A07+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_UPVdgybbt%2F,17,0,false
kanwilbpndkijakarta,Halo+%23SobATRBPN%2C+Hak+Atas+Tanah+adalah+hak+yang+diperoleh+dari+hubungan+hukum+antara+pemegang+hak+dengan+tanah%2C+termasuk+ruang+di+atas+tanah%2C+dan%2Fatau+ruang+di+bawah+tanah+untuk+menguasai%2C+memiliki%2C+menggunakan%2C+dan+memanfaatkan%2C+serta+memelihara+tanah%2C+ruang+di+atas+tanah%2C+dan%2Fatau+ruang+dibawah+tanah.%0A%0ASebelum+menentukan+hak+atas+tanah%2C+yuk+kita+kenali+apa+saja+jenis+hak+atas+tanah+berdasarkan+Undang-Undang+Nomor+5+Tahun+1960+tentang+Undang-Undang+Pokok+Agraria+%28UUPA%29.%0A%0ASimak+informasi+selengkapnya+berikut+ya%2C+Sob%21%0A%0A%40kementerian.atrbpn%0A%0A%23KanwilBPNDKIJakarta%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SertipikatElektronik%0A%23RBKunwas%0A%23ZonaIntegritas%0A%23ZI,2024-08-30+11%3A33%3A37+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_SuO73SbBc%2F,43,2,false
kantahkotajakartabarat,%23repost%0A%40kementerian.atrbpn%0A%0AHalo+%23SobATRBPN%2C+Menteri+ATR%2FKepala+BPN%2C+Agus+Harimurti+Yudhoyono+%28AHY%29+bersama+jajaran+Kementerian+ATR%2F+BPN+menerima+audiensi+dari+World+Bank+di+Ruang+Rapat+Menteri+pada+Kamis+%2829%2F08%2F2024%29.%0A%0APada+pertemuan+kali+ini%2C+Menteri+ATR%2FKepala+BPN+memimpin+audiensi+dan+membahas+mengenai+Program+Integrated+Land+Administration+and+Spatial+Planning+%28ILASP%29.%0A%0ASimak+selengkapnya+pada+video+berikut+ya%2C+Sob%21%E2%98%9D%F0%9F%8F%BC%0A%0A%23AHYMenteriATR%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-08-30+11%3A04%3A37+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Freel%2FC_SqztLvG3s%2F,18,0,false
